Run,c,cpp,cython,java,julia,js,scala,go
1,0.954393,0.683248,2.502505,1.93,1.748276,1.561734,1.963913,2.25497
2,0.747871,0.611292,2.193393,1.582,1.435956,1.486967,2.339334,2.307809
3,0.72853,0.618053,2.155248,1.589,1.410484,1.48662,2.334005,2.600007
4,0.728526,0.893247,2.351087,1.636,1.618472,1.976315,2.02644,2.282347
5,0.729635,0.600098,2.164269,1.575,1.392011,1.478192,1.938926,2.231434
6,0.720557,0.616751,2.152461,1.576,1.444714,1.502783,1.916391,2.31252
7,0.746062,0.758368,2.240301,1.582,1.422275,1.510201,1.86898,2.236658
8,0.742952,0.605732,2.178117,1.604,1.427104,1.506889,1.902091,2.259724
9,0.717269,0.611118,2.147197,1.662,1.42503,1.517632,2.044525,2.457372
10,0.855795,0.637898,2.055895,1.412,1.200025,1.879935,1.584661,1.849843
